Aargauer Gold-Hahnenfuß	Ranunculus argoviensis
Verschiedenblättrige Wiesen-Margerite	Leucanthemum heterophyllum
Verschiedenblättrige Wiesen-Margerite	Leucanthemum heterophyllum (Willd.) DC.
Verschiedenblättriger Ampfer	Rumex heterophyllus
Verschiedenblättriger Ampfer	Rumex x heterophyllus
Verschiedenblättriger Arznei-Baldrian	Valeriana versifolia
Verschiedenblättriger Arznei-Baldrian	Valeriana versifolia Brügger
Verschiedenblättriger Baldrian	Valeriana versifolia
Verschiedenblättriger Baldrian	Valeriana versifolia Brügger
Verschiedenblättriger Schwingel	Festuca heterophylla
Verschiedenblättriger Schwingel	Festuca heterophylla Lam.
Verschiedenblättriges Tausendblatt	Myriophyllum heterophyllum
Verschiedenblättriges Tausendblatt	Myriophyllum heterophyllum Michx.
Verschiedenfarbige Luzerne	Medicago ×varia
Verschiedenfarbige Luzerne	Medicago ×varia Martyn
verschiedenfarbige Schwertlilie	Iris versicolor
Verschiedenfarbige Sumpf-Schwertlilie	Iris versicolor
Verschiedenfarbiges Vergissmeinnicht	Myosotis discolor
Verschiedenfarbiges Vergissmeinnicht	Myosotis discolor Pers.
Verschiedensamige Melde	Atriplex micrantha
Verschiedensamige Melde	Atriplex micrantha Ledeb.
Verschiedenschuppiges Tropfengras	Sporobolus heterolepis
Verschiedenstieliger Frauenmantel	Alchemilla heteropoda
Verschiedenstieliger Frauenmantel	Alchemilla heteropoda aggr.
Verschiedenstieliger Frauenmantel	Alchemilla heteropoda Buser
Verschiedenzähniger Weißdorn	Crataegus ×
Verschiedenzähniger Weißdorn	Crataegus × subsphaericea
Verschiedenzähniger Weißdorn	Crataegus subsphaerica
Verschiedenzähniger Weißdorn	Crataegus subsphaerica Gand. s. str.
Verschiedenzähniger Weißdorn i. e. S.	Crataegus subsphaerica
Verschiedenzähniger Weißdorn i. e. S.	Crataegus subsphaerica var. subsphaerica
Versteckblume	Cryptanthus bivittatus
Verstecktblütiges Fallsamengras	Sporobolus cryptandrus
Verursacher der Krebspest	Aphanomyces astaci
Verursacher der Vogelmalaria	Plasmodium relictum
Verursacher des Ulmensterbens	Ophiostoma ulmi
verwachsenblättrige Becherpflanze	Silphium perfoliatum
Verwachsenblättriger Zweizahn	Bidens connata
Verwachsenblättriger Zweizahn	Bidens connata Muhl. ex Willd.
Verwachsenblättriger Zweizahn	Bidens connata Willd.
Verwachsener Frauenmantel	Alchemilla conjuncta
Verwachsener Frauenmantel	Alchemilla conjuncta aggr.
Verwachsener Frauenmantel	Alchemilla conjuncta aggr. auct. helv.
Verwachsener Frauenmantel	Alchemilla conjuncta aggr. sensu Heitz
Verwachsener Silbermantel	Alchemilla conjuncta
Verwachsener Silbermantel	Alchemilla conjuncta aggr.
Verwachsenfrüchtiger Kleiner Sauerampfer	Rumex acetosella
Verwachsenfrüchtiger Kleiner Sauerampfer	Rumex acetosella subsp. pyrenaicus
Verwachsenfrüchtiger Sauerampfer	Rumex pyrenaicus
Verwachsenfrüchtiger Sauerampfer	Rumex pyrenaicus Lapeyr.
Verwachsengrifflige Rose	Rosa stylosa
Verwandter Frauenmantel	Alchemilla propinqua
Verwandter Frauenmantel	Alchemilla propinqua H. Lindb. ex Juz.
Verwechselte Trauben-Trespe	Bromus commutatus
Verwechselte Trauben-Trespe	Bromus commutatus Schrad.
Verwechselte Trespe	Bromus commutatus
Verwechselte Trespe	Bromus commutatus Schrad.
Verwechselte Trespe	Bromus commutatus Schrader
Verwechselte Trespe	Bromus racemosus
Verwechselte Trespe	Bromus racemosus subsp. commutatus (Schrad.) Syme
Verwechselter Spierstrauch	Spiraea ×pseudosalicifolia
Verwechselter Spierstrauch	Spiraea ×pseudosalicifolia Silverside
Verwechseltes Büchsenkraut	Lindernia dubia
Verwechseltes Büchsenkraut	Lindernia dubia (L.) Pennell
Verzweigte Glockenblume	Campanula ramosissima
Verzweigte Glockenblume	Campanula ramosissima Sm.
Verzweigte Trespe	Bromus ramosus
Verzweigte Trespe	Bromus ramosus Hudson
Verzweigter Igelkolben	Sparganium erectum
Verzweigter Igelkolben	Sparganium erectum L. s.str.
Verzweigter Rittersporn	Delphinium Belladonna
Vetivergras	Chrysopogon zizanioides
Vetters Frauenmantel	Alchemilla vetteri
Vetters Frauenmantel	Alchemilla vetteri Buser
Vetters Löwenzahn	Taraxacum vetteri
Vetters Löwenzahn	Taraxacum vetteri Soest
Vexiernelke	Lychnis
Vexiernelke	Silene coronaria
Vielähriger Knöterich	Polygonum polystachyum
Vielähriger Knöterich	Polygonum polystachyum Meisn.
Vielblättrige Lotwurz	Onosma polyphyllum
Vielblättrige Lupine	Lupinus Nanus
Vielblättrige Lupine	Lupinus Nanus Russell
vielblättrige Lupine	Lupinus polyphyllus
Vielblättrige Lupine	Lupinus polyphyllus Lindl.
Vielblättrige Schaumblüte	Tiarella polyphylla
Vielblättrige Wolfsbohne	Lupinus polyphyllus
Vielblättrige Wolfsbohne	Lupinus polyphyllus Lindl.
Vielblättriger Wundklee	Anthyllis vulneraria
Vielblättriger Wundklee	Anthyllis vulneraria subsp. polyphylla (DC.) Nyman
Vielblättriges Stachelnüßchen	Acaena myriophylla
Vielblütige Brombeere	Rubus polyanthemus
Vielblütige Brombeere	Rubus polyanthemus Lindeb.
Vielblütige Hainsimse	Luzula multiflora
Vielblütige Hainsimse	Luzula multiflora (Ehrh.) Lej.
Vielblütige Hainsimse	Luzula multiflora aggr.
Vielblütige Krause Distel	Carduus crispus
Vielblütige Krause Distel	Carduus crispus subsp. multiflorus
Vielblütige Krause Distel	Carduus crispus subsp. multiflorus (Gaudin) Franco
vielblütige Lavendelheide	Pieris floribunda
vielblütige Rose	Rosa multiflora
Vielblütige Rose	Rosa multiflora Thunb.
Vielblütige Sonnenblume	Helianthus multiflorus
Vielblütige Sonnenblume	Helianthus multiflorus L.
Vielblütige Weisswurz	Polygonatum multiflorum
Vielblütige Weißwurz	Polygonatum multiflorum
Vielblütige Weisswurz	Polygonatum multiflorum (L.) All.
Vielblütige Weißwurz	Polygonatum multiflorum (L.) All.
Vielblütige Zwergmispel	Cotoneaster multiflorus
vielblütiger Apfel	Malus floribunda
Vielblütiger Geißklee	Cytisus multiflorus
Vielblütiger Ginster	Cytisus multiflorus
Vielblütiger Hahnenfuss	Ranunculus polyanthemoides
Vielblütiger Hahnenfuss	Ranunculus polyanthemoides Boreau
Vielblütiger Hain-Hahnenfuß	Ranunculus polyanthemos
Vielblütiger Knöterich	Fallopia multiflora
Vielblütiger Lolch	Lolium multiflorum
Vielblütiger Lolch	Lolium multiflorum Lam.
Vielblütiger Rot-Schwingel	Festuca heteromalla
Vielblütiges Doppelschild	Dipelta floribunda
Vielblütiges Hasenbrot	Luzula multiflora
Vielblütiges Salomonssiegel	Polygonatum multiflorum
Vielblütiges Salomonssiegel	Polygonatum multiflorum (L.) All.
Vielblütiges Weidelgras	Lolium multiflorum
Vielblütiges Weidelgras	Lolium multiflorum Lam.
Vieldorniger Feigenkaktus	Opuntia polyacantha
vielfarbige Wolfsmilch	Euphorbia epithymoides
Vielfarbige Wolfsmilch	Euphorbia epithymoides agg.
Vielfarbige Wolfsmilch	Euphorbia epithymoides L.
Vielfarbiges Stiefmütterchen	Viola tricolor
Vielfarbiges Stiefmütterchen	Viola tricolor var. polychroma
Vielfrüchtiger Sumpf-Teichfaden	Zannichellia palustris
Vielfrüchtiger Sumpf-Teichfaden	Zannichellia palustris subsp. polycarpa
Vielfrüchtiger Teichfaden	Zannichellia palustris
Vielfrüchtiger Teichfaden	Zannichellia palustris subsp. polycarpa
Vielfrüchtiger Teichfaden	Zannichellia palustris subsp. polycarpa (Nolte) K. Richt.
Vielgestaltige Glockenblume	Campanula polymorpha
Vielgestaltiges Berufkraut	Erigeron glabratus
Vielgestaltiges Berufkraut	Erigeron glabratus Bluff & Fingerh.
Vielgestaltiges Quellkraut	Montia fontana
Vielgestaltiges Quellkraut	Montia fontana subsp. variabilis
Vielhaariger Thymian	Thymus praecox
Vielhaariger Thymian	Thymus praecox subsp. polytrichus (Borbás) Jalas
Vielkerbige Bastard-Mehlbeere	Sorbus multicrenata
Vielkerbige Bastard-Mehlbeere	Sorbus multicrenata Bornm. ex Düll (Sorbus aria s. l. x S. torminalis)
Vielkerbige Bastardmehlbeere	Sorbus multicrenata
Vielkerbige Bastardmehlbeere	Sorbus multicrenata Bornm. ex Düll (Sorbus aria s. l. x S. torminalis)
Vielkerbige Mehlbeere	Sorbus multicrenata
Vielnervige Schlüsselblume	Primula polyneura
Vielnervige Weide	Salix ×
Vielnervige Weide	Salix × multinervis
Vielnervige Weide	Salix multinervis
Vielnerviger Raublättriger-Schaf-Schwingel	Festuca brevipila
Vielnerviger Raublättriger-Schaf-Schwingel	Festuca brevipila var. multinervis
Vielsamiger Breit-Wegerich	Plantago major
Vielsamiger Breit-Wegerich	Plantago major subsp. intermedia
Vielsamiger Gändefuss	Chenopodium polyspermum
Vielsamiger Gändefuss	Chenopodium polyspermum L.
Vielsamiger Gänsefuss	Chenopodium polyspermum
vielsamiger Gänsefuß	Chenopodium polyspermum
Vielsamiger Gänsefuss	Chenopodium polyspermum L.
Vielsamiger Gänsefuß	Chenopodium polyspermum L.
Vielschuppiger Löwenzahn	Taraxacum multilepis
Vielschuppiger Löwenzahn	Taraxacum multilepis Kirschner & ?t?pánek
Vielschwänzige Brombeere	Rubus multicaudatus
Vielschwänziger Löwenzahn	Taraxacum polycercum
Vielschwänziger Löwenzahn	Taraxacum polycercum Sahlin
Vielspaltige Mondraute	Botrychium multifidum
Vielspaltige Mondraute	Botrychium multifidum (S. G. Gmel.) Rupr.
Vielstängelige Nelken-Haferschmiele	Aira caryophyllea
Vielstängelige Nelken-Haferschmiele	Aira caryophyllea subsp. multiculmis
Vielstängelige Sumpfbinse	Eleocharis multicaulis
Vielstängeliges Fingerkraut	Potentilla caulescens
Vielstängeliges Fingerkraut	Potentilla caulescens L.
Vielstängeliges Liebesgras	Eragrostis multicaulis
Vielstängeliges Liebesgras	Eragrostis multicaulis Steud.
Vielstängeliges Schaumkraut	Cardamine hirsuta
Vielstängeliges Schaumkraut	Cardamine hirsuta L.
Vielstängeliges Wimper-Sandkraut	Arenaria ciliata
Vielstängeliges Wimper-Sandkraut	Arenaria ciliata subsp. multicaulis
Vielstängeliges Wimper-Sandkraut	Arenaria multicaulis
Vielstängeliges Wimper-Sandkraut	Arenaria multicaulis L.
Vielstänglige Sumpfsimse	Eleocharis multicaulis
Vielstängliges Wimper-Sandkraut	Arenaria ciliata
Vielstängliges Wimper-Sandkraut	Arenaria ciliata subsp. multicaulis
Vielstengelige Sumpfbinse	Eleocharis multicaulis
Vielstengelige Sumpfbinse	Eleocharis multicaulis (Sm.) Desv.
Vielstengeliges Liebesgras	Eragrostis multicaulis
Vielstengeliges Liebesgras	Eragrostis multicaulis Steud.
Vielstengeliges Wimper-Sandkraut	Arenaria ciliata
Vielstengeliges Wimper-Sandkraut	Arenaria ciliata subsp. multicaulis (L.) Ces.
Vielstengeliges Wimpersandkraut	Arenaria ciliata
Vielstengeliges Wimpersandkraut	Arenaria ciliata subsp. multicaulis (L.) Ces.
Vielstengliges Fingerkraut	Potentilla caulescens
Vielstengliges Fingerkraut	Potentilla caulescens L.
Vielstengliges Sandkraut	Arenaria multicaulis
Vielstengliges Sandkraut	Arenaria multicaulis L.
Vielstengliges Schaumkraut	Cardamine hirsuta
Vielstengliges Schaumkraut	Cardamine hirsuta L.
Vielstrahlige Sonnenblume	Helianthus ×multiflorus
Vielstrahlige Sonnenblume	Helianthus ×multiflorus L.
Vielteilige Mondraute	Botrychium multifidum
Vielteiliger Gold-Hahnenfuß	Ranunculus multisectus
Vielteiliger Gold-Hahnenfuß	Ranunculus multisectus Haas
Vielteiliger Goldhahnenfuß	Ranunculus multisectus
Vielteiliger Goldhahnenfuß	Ranunculus multisectus Haas
Vielteiliger Rautenfarn	Botrychium multifidum
Vielteiliges Fingerkraut	Potentilla multifida
Vielteiliges Fingerkraut	Potentilla multifida L.
vielwurzelige Teichlinse	Spirodela polyrhiza
Vielwurzelige Teichlinse	Spirodela polyrhiza (L.) Schleid.
Vielwurzlige Teichlinse	Spirodela polyrhiza
Vielzahniger Frauenmantel	Alchemilla multidens
Vielzahniger Frauenmantel	Alchemilla multidens Buser
Vielzähniger Löwenzahn	Taraxacum polyodon
Vielzähniger Löwenzahn	Taraxacum polyodon Dahlst.
Vielzipflige Alpen-Küchenschelle	Pulsatilla alpina
Vielzipflige Alpen-Küchenschelle	Pulsatilla alpina subsp. millefoliata (Bertol.) D. M. Moser
Vielzipfliger Löwenzahn	Taraxacum laciniosum
Vielzipfliger Löwenzahn	Taraxacum laciniosum Dahlst.
Vielzwiebliger Lauch	Allium nigrum
Vielzwiebliger Lauch	Allium nigrum L.
Vierblättrige Einbeere	Paris quadrifolia
Vierblättrige Einbeere	Paris quadrifolia L.
Vierblättriger Kleefarn	Marsilea quadrifolia
vierblättriger Teufelspfeffer	Rauvolfia tetraphylla
vierblättriges Nagelkraut	Polycarpon tetraphyllum
Vierblättriges Nagelkraut	Polycarpon tetraphyllum (L.) L.
Vierflügeliges Johanniskraut	Hypericum tetrapterum
Vierflügeliges Johanniskraut	Hypericum tetrapterum Fr.
vierkantiger Bambus	Chimonobambusa quadrangularis
Vierkantiges Weidenröschen	Epilobium tetragonum
Vierkantiges Weidenröschen	Epilobium tetragonum L.
Vierkantiges Weidenröschen	Epilobium tetragonum L. s. l.
Vierkantiges Weidenröschen	Epilobium tetragonum L. s.l.
Vierkantiges Weidenröschen	Epilobium tetragonum L. s.str.
Viermänniges Hornkraut	Cerastium diffusum
Viermänniges Hornkraut	Cerastium diffusum agg.
Viermänniges Hornkraut	Cerastium diffusum Pers. s. str.
viermänniges Schaumkraut	Cardamine hirsuta
Viersamige Wicke	Vicia tetrasperma
Viersamige Wicke	Vicia tetrasperma (L.) Schreb.
Viersamige Wicke	Vicia tetrasperma agg.
Vierzählige Weissmiere	Moenchia erecta
Vierzählige Weissmiere	Moenchia erecta (L.) G. Gaertn. & al.
Vierzählige Weissmiere	Moenchia erecta (L.) P. Gaertn. & al.
Vierzeilige Saat-Gerste	Hordeum vulgare
Vierzeilige Saat-Gerste	Hordeum vulgare L. s.str.
Vierzeilige Saat-Gerste	Hordeum vulgare L. subsp. vulgare
vietnamesische Kanonierblume	Pilea cadierei
Vietnamesische Melisse	Elsholtzia ciliata
Vietnamesischer Koriander	Polygonum odoratum
Vilfagras	Sporobolus
Villars Bitterkraut	Picris hieracioides
Villars Bitterkraut	Picris hieracioides subsp. villarsii (Jord.) Nyman
Villars Gebirgs-Kälberkropf	Chaerophyllum villarsii
Villars Gebirgs-Kälberkropf	Chaerophyllum villarsii W. D. J. Koch
Villars Gebirgskälberkropf	Chaerophyllum villarsii
Villars Gebirgskälberkropf	Chaerophyllum villarsii W. D. J. Koch
Villars Hahnenfuss	Ranunculus villarsii
Villars Hahnenfuss	Ranunculus villarsii DC.
Villars Kälberkropf	Chaerophyllum villarsii
Villars Kälberkropf	Chaerophyllum villarsii W. D. J. Koch
Villars Wurmfarn	Dryopteris villarii
Villars Wurmfarn	Dryopteris villarii (Bellardi) Schinz & Thell.
Villars' Berg-Hahnenfuss	Ranunculus villarsii
Villars' Berg-Hahnenfuss	Ranunculus villarsii DC.
Villars' Miere	Minuartia villarii
Villars' Miere	Minuartia villarii (Balb.) Wilczek & Chenevard
Villars' Wurmfarn	Dryopteris villarii
Villars' Wurmfarn	Dryopteris villarii (Bellardi) Schinz & Thell.
Violaceae	Veilchengewächse
Violettdrüsige Haselblatt-Brombeere	Rubus firmus
Violettdrüsige Haselblatt-Brombeere	Rubus firmus Frid. & Gelert ex Utsch
Violettdrüsige Haselblattbrombeere	Rubus firmus
Violettdrüsige Haselblattbrombeere	Rubus firmus Frid. & Gelert ex Utsch
Violette Fingerhirse	Digitaria violascens
Violette Fingerhirse	Digitaria violascens Link
Violette Königskerze	Verbascum phoeniceum
Violette Königskerze	Verbascum phoeniceum L.
Violette Schwarzwurzel	Scorzonera purpurea
Violette Schwarzwurzel	Scorzonera purpurea L.
Violette Sommerwurz	Orobanche purpurea
Violette Sommerwurz	Orobanche purpurea Jacq.
Violette Ständelwurz	Epipactis purpurata
Violette Stendelwurz	Epipactis purpurata
Violette Stendelwurz	Epipactis purpurata Sm.
Violette Stendelwurz	Epipactis viridiflora
Violette Stendelwurz	Epipactis viridiflora Krock.
Violette Sumpfwurz	Epipactis viridiflora
Violette Sumpfwurz	Epipactis viridiflora Krock.
Violetter Dingel	Limodorum abortivum
Violetter Dingel	Limodorum abortivum (L.) Sw.
Violetter Gewöhnlicher Stechapfel	Datura stramonium
Violetter Gewöhnlicher Stechapfel	Datura stramonium var. tatula
Violetter Gold-Grannenhafer	Trisetum flavescens
Violetter Gold-Grannenhafer	Trisetum flavescens subsp. purpurascens
Violetter Goldhafer	Trisetum flavescens
Violetter Goldhafer	Trisetum flavescens subsp. purpurascens (DC.) Arcang.
Violetter Schwingel	Festuca violacea
Violetter Schwingel	Festuca violacea aggr.
Violetter Schwingel	Festuca violacea Gaudin
Violetter Storchschnabel	Geranium phaeum
Violetter Storchschnabel	Geranium phaeum var. lividum (L'Hér.) DC.
Violetter Würger	Orobanche purpurea
Violetter Würger	Orobanche purpurea aggr.
Violetter Würger	Orobanche purpurea Jacq.
Violettes Galmei-Stiefmütterchen	Viola guestphalica
Violettes Galmei-Stiefmütterchen	Viola guestphalica Nauenb.
Violettes Galmeistiefmütterchen	Viola guestphalica
Violettes Galmeistiefmütterchen	Viola guestphalica Nauenb.
Violettes Rispengras	Poa variegata
Violettes Rispengras	Poa variegata Lam.
Violettes Rispengras	Poa violacea
Violettes Rispengras	Poa violacea Bellardi
Violettfüßiger Löwenzahn	Taraxacum oinopopodum
Violettrote Sumpfwurz	Epipactis purpurata
Violettrote Sumpfwurz	Epipactis purpurata Sm.
Violettstachelige Haselblatt-Brombeere	Rubus maximiformis
Violettstachelige Haselblatt-Brombeere	Rubus maximiformis H. E. Weber
Violettstachelige Haselblattbrombeere	Rubus maximiformis
Violettstachelige Haselblattbrombeere	Rubus maximiformis H. E. Weber
Violettstieliger Löwenzahn	Taraxacum violaceipetiolatum
Virginia Bartgras	Andropogon virginicus
Virginia-Gelenkblume	Physostegia virginiana
Virginia-Wollknöterich	Eriogonum allenii
Virginiaerdbeere	Fragaria virginiana
Virginiamalve	Sida hermaphrodita
Virginische Blasenspiere	Physocarpus opulifolius
Virginische Blasenspiere	Physocarpus opulifolius (L.) Maxim.
virginische Dreimasterblume	Tradescantia virginiana
Virginische Dreimasterblume	Tradescantia virginiana L.
Virginische Hopfenbuche	Ostrya virginiana
virginische Kresse	Lepidium virginicum
Virginische Kresse	Lepidium virginicum L.
Virginische Mondraute	Botrychium virginianum
Virginische Mondraute	Botrychium virginianum (L.) Sw.
virginische Pappel	Populus deltoides
virginische Pappel	Populus deltoides subsp. deltoides
Virginische Rundblatt-Birke	Betula lenta
Virginische Rundblatt-Birke	Betula lenta f. uber
Virginische Zaubernuss	Hamamelis virginiana
Virginischer Rautenfarn	Botrychium virginianum
Virginischer Schneeflockenstrauch	Chionanthus virginicus
virginischer Tabak	Nicotiana tabacum
Virginischer Tabak	Nicotiana tabacum L.
virginischer Traubenkirschbaum	Prunus virginiana
virginischer Wacholder	Juniperus virginiana
Virginischer Waldmohn	Stylophorum diphyllum
virginisches Blauglöckchen	Mertensia virginica
virginisches Kupferblatt	Acalypha virginica
Virginisches Nesselblatt	Acalypha virginica
Virginisches Nesselblatt	Acalypha virginica L.
Visianis Habichtskraut	Hieracium visianii
Visianis Habichtskraut	Hieracium visianii (F. W. Schultz & Sch. Bip.) Schinz & Thell.
Vitaceae	Weinrebengewächse
Vitalianos Douglasie	Androsace vitaliana
Vitalianos Douglasie	Androsace vitaliana (L.) Lapeyr.
Vixiernelke	Lychnis coronaria
Vogel-Kirsche	Prunus avium
Vogel-Kirsche	Prunus avium L.
Vogel-Knöterich	Polygonum
Vogel-Knöterich	Polygonum aviculare
Vogel-Knöterich	Polygonum aviculare agg.
Vogel-Knöterich	Polygonum aviculare aggr.
Vogel-Knöterich	Polygonum aviculare L.
Vogel-Knöterich	Polygonum aviculare L. s. l.
Vogel-Nestfarn	Asplenium nidus
Vogel-Nestwurz	Neottia nidus-avis
Vogel-Sternmiere	Stellaria media
Vogel-Wicke	Vicia cracca
Vogel-Wicke	Vicia cracca agg.
Vogel-Wicke	Vicia cracca L.
Vogel-Wicke	Vicia cracca L. s.l.
Vogel-Wicke	Vicia cracca L. s.str.
Vogelbeerbaum	Sorbus aucuparia
Vogelbeerbaum	Sorbus aucuparia L.
Vogelbeere	Sorbus
Vogelbeere	Sorbus aucuparia
Vogelbeere	Sorbus aucuparia L.
Vogelbeere	Sorbus aucuparia subsp. aucuparia
Vogelfuß	Ornithopus
Vogelfuß	Ornithopus compressus
Vogelfuss	Ornithopus perpusillus
Vogelfuss	Ornithopus perpusillus L.
Vogelfuß-Klee	Trifolium ornithopodioides
Vogelfuß-Klee	Trifolium ornithopodioides L.
Vogelfuss-Segge	Carex ornithopoda
Vogelfuß-Segge	Carex ornithopoda
Vogelfuß-Segge	Carex ornithopoda agg.
Vogelfuss-Segge	Carex ornithopoda Willd.
Vogelfuß-Segge	Carex ornithopoda Willd. s. str.
Vogelfußklee	Trifolium ornithopodioides
Vogelfußklee	Trifolium ornithopodioides L.
Vogelfußsegge	Carex ornithopoda
Vogelfußsegge	Carex ornithopoda Willd. s. str.
Vogelhirse	Setaria italica
Vogelhirse	Setaria italica (L.) P. B.
Vogelhirse	Setaria italica (L.) P. Beauv.
Vogelkirsche	Prunus avium
Vogelkirsche	Prunus avium L.
Vogelkirsche	Sorbus aucuparia
Vogelknöterich	Polygonum
Vogelknöterich	Polygonum aviculare
Vogelknöterich	Polygonum aviculare agg.
Vogelknöterich	Polygonum aviculare L.
Vogelknöterich	Polygonum aviculare L. s. l.
Vogelkopf	Thymelaea passerina
Vogelkopf	Thymelaea passerina (L.) Coss. & Germ.
Vogelmiere	Stellaria media
Vogelmiere	Stellaria media (L.) Vill.
Vogelmiere	Stellaria media agg.
Vogelmiere	Stellaria media aggr.
Vogelnestwurz	Neottia nidus-avis
Vogelnestwurz	Neottia nidus-avis (L.) Rich.
Vogelwicke	Vicia cracca
Vogelwicke	Vicia cracca subsp. cracca
Vogesen-Mehlbeere	Sorbus mougeotii
Vogesen-Mehlbeere	Sorbus mougeotii Soy.-Will. & Godr.
Vogesen-Rose	Rosa dumalis
Vogesen-Rose	Rosa dumalis Bechst.
Vogesen-Rose	Rosa vosagiaca
Vogesen-Rose	Rosa vosagiaca aggr.
Vogesen-Stiefmütterchen	Viola lutea
Vogesenmehlbeere	Sorbus mougeotii
Vogesenmehlbeere	Sorbus mougeotii Soy.-Will. & Godr.
Vogesenrose	Rosa dumalis
Vogesenrose	Rosa dumalis Bechst.
Volkamer Zitrone	Citrus limonia
Vollmanns Habichtskraut	Hieracium vollmannii
Vollmanns Habichtskraut	Hieracium vollmannii subsp. vollmannii
Vollmanns Habichtskraut	Hieracium vollmannii Zahn
Von-Martius Hanfpalme	Trachycarpus martianus
Von-Martius Hanfpalme	Trachycarpus martianus (Wall.) H. Wendl.
Voralpen-Feld-Thymian	Thymus alpestris
Voralpen-Feld-Thymian	Thymus alpestris (?elak.) A. Kern.
Voralpen-Feld-Thymian	Thymus alpestris A. Kern.
Voralpen-Greiskraut	Senecio subalpinus
Voralpen-Greiskraut	Senecio subalpinus W. D. J. Koch
Voralpen-Kreuzblümchen	Polygala alpestris
Voralpen-Kreuzblümchen	Polygala alpestris Rchb.
Voralpen-Kreuzblume	Polygala alpestris
Voralpen-Kreuzblume	Polygala alpestris Rchb.
Voralpen-Lungenkraut	Pulmonaria mollis
Voralpen-Lungenkraut	Pulmonaria mollis subsp. alpigena
Voralpen-Stiefmütterchen	Viola tricolor
Voralpen-Stiefmütterchen	Viola tricolor subsp. subalpina Gaudin
Voralpen-Täschelkraut	Thlaspi alpestre
Voralpen-Täschelkraut	Thlaspi alpestre aggr.
Voralpen-Täschelkraut	Thlaspi brachypetalum
Voralpen-Täschelkraut	Thlaspi brachypetalum Jord.
Voralpenkreuzblümchen	Polygala alpestris
Voralpenkreuzblümchen	Polygala alpestris Rchb.
Voralpines Fuchssches Greiskraut	Senecio ovatus
Voralpines Fuchssches Greiskraut	Senecio ovatus subsp. alpestris
Vorarlberg-Habichtskraut	Hieracium rohacsense
Vorarlberg-Habichtskraut	Hieracium rohacsense Kit.
Vorarlberger Habichtskraut	Hieracium rohacsense
Vorarlberghabichtskraut	Hieracium rohacsense
Vorarlberghabichtskraut	Hieracium rohacsense Kit.
Vorblattloses Leinblatt	Thesium ebracteatum
Vorblattloses Leinblatt	Thesium ebracteatum Hayne
Vorblattloses Vermeinkraut	Thesium ebracteatum
Vorfrühlings-Alpenveilchen	Cyclamen coum
Vorfrühlings-Krokus	Crocus tommasinianus
Vorfrühlings-Krokus	Crocus tommasinianus Herb.
Vorhang-Feige	Ficus microcarpa
Vorsommer-Aster	Aster tongolensis
Vorzeitigerblühender Arznei-Thymian	Thymus pulegioides
Vorzeitigerblühender Arznei-Thymian	Thymus pulegioides var. praeflorens
Vorzügliche Brombeere	Rubus praestans
Vorzügliche Brombeere	Rubus praestans H. E. Weber
Wacholder	Juniperus
Wacholder	Juniperus communis
Wacholder	Juniperus communis var. communis
Wacholder	Juniperus oxycedrus
Wacholder	Juniperus oxycedrus subsp. oxycedrus
Wacholder	Juniperus sabina
Wacholder	Juniperus virginiana
Wachs-Zungenblatt	Glottiphyllum linguiforme
Wachsbaum	Carissa bispinosa
Wachsbaum	Carissa carandas
Wachsbeerbaum	Morella cerifera
Wachsblume	Cerinthe
Wachsblume	Cerinthe glabra
Wachsblume	Cerinthe major
Wachsblume	Cerinthe minor
Wachsblume	Hoya carnosa
Wachsjambuse	Syzygium cumini
Wachskürbis	Benincasa hispida
Wachsmyrte	Morella cerifera
Wachspalme	Ceroxylon alpinum
Wachspalme	Ceroxylon alpinum Bonpl. ex DC.
Wachspalme	Copernicia prunifera
Wachspalme	Copernicia prunifera (Mill.) H. E. Moore
Wachtelweizen	Melampyrum
Wagners Hanfpalme	Trachycarpus wagnerianus
Wagners Hanfpalme	Trachycarpus wagnerianus hort. ex Becc.
Wahlbergs Haselblatt-Brombeere	Rubus wahlbergii
Wahlbergs Haselblatt-Brombeere	Rubus wahlbergii Arrh.
Wahlbergs Haselblattbrombeere	Rubus wahlbergii
Wahlbergs Haselblattbrombeere	Rubus wahlbergii Arrh.
Wahrer Bärenklau	Acanthus mollis
Wahrer Bärenklau	Acanthus mollis L.
Waid	Isatis
Waid	Isatis glauca
Wakame	Undaria pinnatifida
wald Sauerklee	Oxalis acetosella
Wald-Anemone	Anemone nemorosa
Wald-Anemone	Anemone nemorosa L.
Wald-Aster	Aster divaricatus
Wald-Aster	Symphyotrichum cordifolium
Wald-Bärlapp	Lycopodium annotinum
Wald-Bärlapp	Lycopodium annotinum aggr.
Wald-Bärlapp	Lycopodium annotinum L.
Wald-Bergminze	Calamintha menthifolia
Wald-Bergminze	Calamintha menthifolia Host
Wald-Bingelkraut	Mercurialis perennis
Wald-Bingelkraut	Mercurialis perennis agg.
Wald-Bingelkraut	Mercurialis perennis L.
Wald-Binse	Scirpus sylvaticus
Wald-Binse	Scirpus sylvaticus L.
Wald-Borstendolde	Torilis japonica
Wald-Borstendolde	Torilis japonica (Houtt.) DC.
Wald-Brombeere	Rubus silvaticus
Wald-Brombeere	Rubus silvaticus auct.
Wald-Brombeere	Rubus silvaticus Weihe & Nees
Wald-Brombeere	Rubus sylvaticus
