Neuseeländischer Weihnachtsbaum	Metrosideros excelsa
Nikko-Tanne	Abies homolepis
Nootka-Scheinzypresse	Xanthocyparis nootkatensis
Nordmanns Tanne	Abies nordmanniana
Norfolk-Hibiskus	Lagunaria patersonia
Norfolktanne	Araucaria heterophylla
Nutalls Blumen-Hartriegel	Cornus nuttallii
Obassia-Storaxbaum	Styrax obassia
Ohio-Rosskastanie	Aesculus glabra
Ohr-Weide	Salix aurita
Olive	Olea europaea
Ölbaum	Olea europaea
Oleander	Nerium oleander
Orange	Citrus x aurantium
Oregon-Ahorn	Acer macrophyllum
Oregon-Esche	Fraxinus latifolia
Orient-Buche	Fagus orientalis
Osagedorn	Maclura pomifera
Oster-Schneeball	Viburnum x burkwoodii
Palisanderholzbaum	Jacaranda mimosifolia
Panzer-Kiefer	Pinus heldreichii
Papier-Birke	Betula papyrifera
Papiermaulbeerbaum	Broussonetia papyrifera
Pappelblättrige Birke Hybride	Betula populifolia
Pappelblättrige Zistrose	Cistus populifolius
Pappelblättriger Flaschenbaum	Brachychiton populneus
Paradiesvogelbusch	Caesalpinia gilliesii
Paternosterbaum	Melia azedarach
Pekannuss	Carya illinoinensis
Persische Eiche	Quercus macranthera
Persischer Eisenholzbaum	Parrotia persica
Petterie	Petteria ramentacea
Pfefferbaum	Schinus molle
Pfeifenstrauch	Philadelphus coronarius
Pfeifenstrauch	Philadelphus x virginalis
Pfirsich	Prunus persica
Pflaume	Prunus domestica
Pflaumenblättrige Apfelbeere	Aronia x prunifolia
Pfriemenginster	Spartium junceum
Pimpernuss	Staphylea pinnata
Pinie	Pinus pinea
Platanenblättrige Alangie	Alangium platanifolium
Platanenblättriger Maulbeerbaum	Morus alba f. macrophylla
Pontische Eiche	Quercus pontica
Portugiesische Eiche	Quercus faginea
Portugiesische Lorbeer-Kirsche	Prunus lusitanica
Pracht-Spierstrauch	Spiraea x vanhouttei
Prachtglocke	Enkianthus campanulatus
Prächtige Bougainvillea	Bougainvillea spectabilis
Prächtige Lagerstroemie	Lagerstroemia speciosa
Preißelbeere	Vaccinium vitis-idaea
Prunus 'Accolade'	Prunus 'Accolade'
Prunus 'Kursar'	Prunus 'Kursar'
Prunus avium 'Plena'	Prunus avium 'Plena'
Prunus cerasifera 'Rosea'	Prunus cerasifera 'Rosea'
Prunus cerasus 'Rhexii'	Prunus cerasus 'Rhexii'
Purgier-Kreuzdorn	Rhamnus cathartica
Purpur-Apfel	Malus x purpurea
Purpur-Magnolie	Magnolia liliiflora
Purpur-Schönfrucht	Callicarpa dichotoma
Purpur-Weide	Salix purpurea
Purpurblättriger Trompetenbaum	Catalpa x erubescens
Purpus Heckenkirsche	Lonicera x purpusii 'Winter Beauty'
Pyramiden-Pappel	Populus nigra 'Italica'
Pyrenäen-Eiche	Quercus pyrenaica
Pyrenäen-Kiefer	Pinus nigra var. salzmanii
Queensland Strahlenaralie	Schefflera actinophylla
Queensland-Araukarie	Araucaria bidwillii
Queensland-Flaschenbaum	Brachychiton rupestris
Radbaum	Trochodendron aralioides
Rain Tree	Samanea saman
Ranunkelstrauch	Kerria japonica 'Pleniflora'
Raublättrige Deutzie	Deutzia scabra
Rauchzypresse	Calocedrus decurrens 'Aureovariegata'
Flusszeder	Calocedrus decurrens
Rauchzypresse	Calocedrus decurrens
Raue Stechwinde	Smilax aspera
Rauhe Hortensie	Hydrangea aspera ssp. aspera
Rauschbeere	Vaccinium uliginosum
Reneklode	Prunus domestica subsp. italica
Riesen-Hartriegel	Cornus controversa
Riesen-Lebensbaum	Thuja plicata
Riesen-Mammutbaum	Sequoiadendron giganteum
Rispen-Hartriegel	Cornus racemosa
Rispen-Hortensie	Hydrangea paniculata
Rispiger Blasenbaum	Koelreuteria paniculata
Robinia x margaretta	Robinia x margaretta 'Casque Rouge'
Robinie	Robinia pseudoacacia
Rosa Klettertrompete	Podranea ricasoliana
Rosen-Deutzie	Deutzia x hybrida
Rosen-Kaktus	Pereskia bleo
Rosmarin	Rosmarinus officinalis
Rosmarinheide	Andromeda polifolia
Rosskastanien-Hybrid	Aesculus x mutabilis 'Penduliflora'
Rostblättrige Alpenrose	Rhododendron ferrugineum
Rostnerviger Schlangenhaut-Ahorn	Acer rufinerve
Rostrote Weinrebe	Vitis coignetiae
Rot-Ahorn	Acer rubrum
Rot-Eiche	Quercus rubra
Rot-Esche	Fraxinus pennsylvanica
Rotblatt-Rose	Rosa glauca
Rotblättriger Berg-Ahorn	Acer pseudoplatanus f. atropurpureum
Rotblühende Rosskastanie	Aesculus x carnea
Rotdorn	Crataegus laevigata 'Paul's Scarlet'
Rote Heckenkirsche	Lonicera xylosteum
Runzelblättriger Schneeball	Viburnum rhytidophyllum
Runzelige Zwergmispel	Cotoneaster bullatus
Sadebaum	Juniperus sabina
Saft-Weißdorn	Crataegus succulenta var. macrantha
Sal-Weide	Salix caprea
Salzstrauch	Halimodendron halodendron
Samthaarige Stinkesche	Tetradium daniellii
Sandbüchsenbaum	Hura crepitans
Sanddorn	Hippophae rhamnoides
Sargents Apfel	Malus sargentii
Sargents Samt-Hortensie	Hydrangea aspera ssp. sargentiana
Sauer-Kirsche	Prunus cerasus
Sauerbaum	Oxydendrum arboreum
Säulen-Araukarie	Araucaria columnaris
Säulen-Stiel-Eiche	Quercus robur f. fastigiata
Sawara-Scheinzypresse	Chamaecyparis pisifera
Scharlach-Eiche	Quercus coccinea
Scharlach-Weißdorn	Crataegus pedicellata
Schaumspiere	Holodiscus discolor
Scheinkamelie	Stewartia pseudocamellia
Scheinkerrie	Rhodotypos scandens
Scheinparrotie	Parrotiopsis jaquemontiana
Schindel-Eiche	Quercus imbricaria
Schirm-Magnolie	Magnolia tripetala
Schirm-Ölweide	Elaeagnus umbellata
Schirmtanne	Sciadopitys verticillata
Schlangenhaut-Kiefer	Pinus leucodermis
Schlehe	Prunus spinosa
Schlitzblättrige Buche	Fagus sylvatica f. laciniata
Schlitzblättrige Hänge-Birke	Betula pendula f. dalecarlica
Schlitzblättrige Stiel-Eiche	Quercus robur f. pectinata
